Name,Tier,Range,Damage Dice,Two-handed,Protection,Defense Type,Armour Piercing,Attacks
bec_de_corbin,4,10,d8,y,3,parry,y,"pound, impale"
halberd,4,10,d10,y,4,parry,y,"hack, impale"
pollaxe,3,5,d8,y,4,parry,y,"hack, impale, strike"
cavalry_morningstar,2,5,d6,,,,,smash
infantry_morningstar,3,10,d8,y,2,parry,,"smash, impale"
guisarme,1,10,d4,y,3,parry,,"cut, stab"
ketten_flail,3,10,d6,y,2,parry,y,smash
bill,3,10,d8,y,4,parry,y,"cut, impale, strike"
pole_warhammer,3,10,d8,y,2,parry,y,"stab, strike"
geodendag,4,10,d6,y,2,parry,,"slam, impale"
